!SIL 1.0	SIL
<UNK> 1.0	SPN
WALKMAN 1.0	W AO K M AE N
PROCLAIMS 1.0	P R OW K L EY M Z
DRAIN 1.0	D R EY N
JAW 1.0	JH AO
PARENTS 1.0	P EH R AH N T S
ESSENTIALS 1.0	EH S EH N CH AH L Z
JIVE 1.0	JH AY V
WARNS 1.0	W AO R N Z
UNCOUTH 1.0	AH N K UW TH
MORN 1.0	M AO R N
WASTING 1.0	W EY S T IH NG
ICH 1.0	IH CH
IMAGINATION 1.0	IH M AE JH AH N EY SH AH N
TRAVELLED 1.0	T R AE V AH L D
IMMEDIATE 1.0	IH M IY D IY AH T
SPOIL 1.0	S P OY L
WAITER 1.0	W EY T ER
BOTTLES 1.0	B AA T AH L Z
SAIL 1.0	S EY L
TELLIN' 1.0	T EH L IH N
JIMMY 1.0	JH IH M IY
SOMEONE'S 1.0	S AH M W AH N Z
SLICK 1.0	S L IH K
TABOR 1.0	T EY B ER
BEHAVE 1.0	B IH HH EY V
BULLETS 1.0	B UH L AH T S
INSIGNIFICANT 1.0	IH N S IH G N Y IH F IH K AH N T
JADE 1.0	JH EY D
VIV 1.0	V IH V
TRAFFIC 1.0	T R AE F IH K
PADDLE 1.0	P AE D AH L
NOTICED 1.0	N OW T AH S T
DIS 1.0	D IH S
HAYSTACK 1.0	HH EY S T AE K
MURDERED 1.0	M ER D ER D
STOKE 1.0	S T OW K
CUSS 1.0	K AH S
BARN 1.0	B AA R N
POET 1.0	P OW AH T
LIBERTY 1.0	L IH B ER T IY
NAUGHTY 1.0	N AO T IY
MANEUVERS 1.0	M AH N UW V ER Z
REFLECT 1.0	R AH F L EH K T
LING 1.0	L IH NG
SHOVE 1.0	SH AH V
TOES 1.0	T OW Z
DREAMERS 1.0	D R IY M ER Z
WOODSHED 1.0	W UH D SH EH D
INTERNATIONAL 1.0	IH N T ER N AE SH AH N AH L
HOLLYWOOD 1.0	HH AA L IY W UH D
FOOTSTEPS 1.0	F UH T S T EH P S
SUSIE 1.0	S UW Z IY
TOPS 1.0	T AA P S
GHETTO 1.0	G EH T OW
RAGS 1.0	R AE G Z
VISIBILITY 1.0	V IH Z AH B IH L IH T IY
COMPTON 1.0	K AA M P T AH N
HENRY 1.0	HH EH N R IY
HADAWAY 1.0	HH AA D AH W EY
ANGELES 1.0	AE N JH AH L IH S
ALLEY 1.0	AE L IY
APPALACHIAN 1.0	AE P AH L EY CH AH N
DELIRIOUS 1.0	D IH L IH R IY AH S
NECESSARY 1.0	N EH S AH S EH R IY
H 1.0	EY CH
DOORWAY 1.0	D AO R W EY
STARLIGHT 1.0	S T AA R L AY T
WOW 1.0	W AW
JORDAN 1.0	JH AO R D AH N
FLOWN 1.0	F L OW N
DONNER 1.0	D AA N ER
ACCOUNT 1.0	AH K AW N T
IMAGINING 1.0	IH M AE JH AH N IH NG
SNAPPING 1.0	S N AE P IH NG
TRANSMISSIONS 1.0	T R AE N Z M IH SH AH N Z
DUDE 1.0	D UW D
DONDE 1.0	D AA N D
APPROACHED 1.0	AH P R OW CH T
STRUGGLING 1.0	S T R AH G AH L IH NG
HEELS 1.0	HH IY L Z
RAINDROPS 1.0	R EY N D R AA P S
GANGSTA 1.0	G AE NG S T AH
TON 1.0	T AH N
WIRED 1.0	W AY ER D
FORTUNE 1.0	F AO R CH AH N
SNIPER 1.0	S N AY P ER
PATCH 1.0	P AE CH
SUFFIX 1.0	S AH F IH K S
SAPPHIRES 1.0	S AE F AY ER Z
BLANC 1.0	B L AE NG K
ACCOUNTANTS 1.0	AH K AW N T AH N T S
CRUMBLE 1.0	K R AH M B AH L
SCALE 1.0	S K EY L
COURT 1.0	K AO R T
FLO 1.0	F L OW
UHH 1.0	AH
GIRLFRIEND 1.0	G ER L F R EH N D
REPUTATION 1.0	R EH P Y AH T EY SH AH N
DESERTED 1.0	D IH Z ER T IH D
CDS 1.0	S IY D IY Z
PREJUDICE 1.0	P R EH JH AH D IH S
SQUARE 1.0	S K W EH R
PHILOSOPHY 1.0	F AH L AA S AH F IY
KITE 1.0	K AY T
PROGRESS 1.0	P R AA G R EH S
RELEVANT 1.0	R EH L AH V AH N T
COZY 1.0	K OW Z IY
HIPS 1.0	HH IH P S
CHARMS 1.0	CH AA R M Z
CAGE 1.0	K EY JH
HOP 1.0	HH AA P
POSSESSED 1.0	P AH Z EH S T
WHIP 1.0	W IH P
ST 1.0	S T R IY T
PRAYER 1.0	P R EH R
SUNK 1.0	S AH NG K
WINSLOW 1.0	W IH N Z L OW
ENSLAVED 1.0	EH N S L EY V D
BALLAD 1.0	B AE L AH D
BUDGE 1.0	B AH JH
BAGGING 1.0	B AE G IH NG
STRIP 1.0	S T R IH P
FULFILL 1.0	F UH L F IH L
SINCERE 1.0	S IH N S IH R
SIRENS 1.0	S AY R AH N Z
METAL 1.0	M EH T AH L
DECORATIONS 1.0	D EH K ER EY SH AH N Z
ARREST 1.0	ER EH S T
WAX 1.0	W AE K S
TURNTABLE 1.0	T ER N T EY B AH L
PAPERBACK 1.0	P EY P ER B AE K
REACTION 1.0	R IY AE K SH AH N
SOAKS 1.0	S OW K S
COMO 1.0	K OW M OW
WICKED 1.0	W IH K AH D
MIXTURE 1.0	M IH K S CH ER
NAGGING 1.0	N AE G IH NG
CLASSROOM 1.0	K L AE S R UW M
FORSE 1.0	F AO R S
TEMPER 1.0	T EH M P ER
PRISCILLA 1.0	P R IH S IH L AH
FLACK 1.0	F L AE K
IGNORE 1.0	IH G N AO R
RIVALS 1.0	R AY V AH L Z
DIVING 1.0	D AY V IH NG
STUMBLED 1.0	S T AH M B AH L D
CASES 1.0	K EY S AH Z
VALENTINES 1.0	V AE L AH N T AY N Z
CLIQUE 1.0	K L IY K
CUPBOARD 1.0	K AH B ER D
PLUS 1.0	P L AH S
LEWIS 1.0	L UW IH S
WOODS 1.0	W UH D Z
VERB 1.0	V ER B
OBLIVION 1.0	AH B L IH V IY AH N
FASCINATED 1.0	F AE S AH N EY T AH D
BOCA 1.0	B OW K AH
SAILORS 1.0	S EY L ER Z
AULD 1.0	AO L D
HEALTH 1.0	HH EH L TH
DISSOLVE 1.0	D IH Z AA L V
GUERILLA 1.0	G ER IH L AH
ONG 1.0	AO NG
OZONE 1.0	OW Z OW N
FLAVORED 1.0	F L EY V ER D
RELIGIONS 1.0	R IY L IH JH AH N Z
BREAKERS 1.0	B R EY K ER Z
BONG 1.0	B AA NG
PUNTO 1.0	P UW N T OW
TRAVELLING 1.0	T R AE V AH L IH NG
ILLUSIONS 1.0	IH L UW ZH AH N Z
SLAM 1.0	S L AE M
TWINE 1.0	T W AY N
REGALED 1.0	R IH G EY L D
ROLLS 1.0	R OW L Z
CHAIN 1.0	CH EY N
DUSTY 1.0	D AH S T IY
BACKED 1.0	B AE K T
TEACHER'S 1.0	T IY CH ER Z
UNWIND 1.0	AH N W AY N D
SIMULTANEOUSLY 1.0	S AY M AH L T EY N IY AH S L IY
STAIRS 1.0	S T EH R Z
ECSTASY 1.0	EH K S T AH S IY
ENTITY 1.0	EH N T AH T IY
KILLERS 1.0	K IH L ER Z
PLAYTEX 1.0	P L EY T EH K S
CURTAIN 1.0	K ER T AH N
TWINS 1.0	T W IH N Z
SURVIVAL 1.0	S ER V AY V AH L
BROKER 1.0	B R OW K ER
GLOOMY 1.0	G L UW M IY
ROOSTER 1.0	R UW S T ER
STEEPLE 1.0	S T IY P AH L
SKIPPY 1.0	S K IH P IY
PATRIOTIC 1.0	P EY T R IY AA T IH K
HOGS 1.0	HH AA G Z
TYRANT 1.0	T AY R AH N T
SPOKE 1.0	S P OW K
SWEETHEART 1.0	S W IY T HH AA R T
SUEDE 1.0	S W EY D
SKINNED 1.0	S K IH N D
SIGHED 1.0	S AY D
WAIST 1.0	W EY S T
JOYFUL 1.0	JH OY F AH L
DNA 1.0	D IY EH N EY
TERMINATOR 1.0	T ER M AH N EY T ER
WHOOPEE 1.0	W UW P IY
AGGRAVATION 1.0	AE G R AH V EY SH AH N
MOP 1.0	M AA P
COMPETITION 1.0	K AA M P AH T IH SH AH N
BUCKETS 1.0	B AH K AH T S
COLDS 1.0	K OW L D Z
GREECE 1.0	G R IY S
STEW 1.0	S T UW
LONE 1.0	L OW N
CLICK 1.0	K L IH K
WILLINGLY 1.0	W IH L IH NG L IY
BOOTH 1.0	B UW TH
NU 1.0	N UW
FRIGHT 1.0	F R AY T
STUMBLING 1.0	S T AH M B AH L IH NG
GEAR 1.0	G IH R
ROOTS 1.0	R UW T S
BYE 1.0	B AY
NAW 1.0	N AA
LOSER 1.0	L UW Z ER
DALLA 1.0	D AE L AH
PAM 1.0	P AE M
GEORGE 1.0	JH AO R JH
RIDER 1.0	R AY D ER
BUGATTI 1.0	B AH G AA T IY
CARBON 1.0	K AA R B AH N
THEY'D 1.0	DH EY D
CONFESS 1.0	K AH N F EH S
EGO 1.0	IY G OW
SHUI 1.0	SH UW IY
IT'D 1.0	IH T AH D
GENEROUS 1.0	JH EH N ER AH S
BRUNO 1.0	B R UW N OW
STROKE 1.0	S T R OW K
BARELY 1.0	B EH R L IY
WOP 1.0	W AA P
FRIGHTENING 1.0	F R AY T AH N IH NG
SPAIN 1.0	S P EY N
COMEDY 1.0	K AA M AH D IY
WONDROUS 1.0	W AH N D R AH S
THUMB 1.0	TH AH M
FREDDIE 1.0	F R EH D IY
SIP 1.0	S IH P
DOTH 1.0	D AO TH
ARGENTINE 1.0	AA R JH AH N T IY N
HACK 1.0	HH AE K
BLESSING 1.0	B L EH S IH NG
LION'S 1.0	L AY AH N Z
HIGHEST 1.0	HH AY AH S T
DIM 1.0	D IH M
SHAKEDOWN 1.0	SH EY K D AW N
TEASE 1.0	T IY Z
TONY 1.0	T OW N IY
SORTING 1.0	S AO R T IH NG
JESSICA 1.0	JH EH S IH K AH
GARBAGE 1.0	G AA R B IH JH
SHEAD 1.0	S HH EH D
FORD 1.0	F AO R D
TORE 1.0	T AO R
STUNT 1.0	S T AH N T
AIRCRAFT 1.0	EH R K R AE F T
ENCORE 1.0	AA N K AO R
TRAVELS 1.0	T R AE V AH L Z
GYPSY 1.0	JH IH P S IY
INVITING 1.0	IH N V AY T IH NG
INEVITABLE 1.0	IH N EH V AH T AH B AH L
PUNISH 1.0	P AH N IH SH
IGNITION 1.0	IH G N IH SH AH N
DECEIT 1.0	D AH S IY T
DAILY 1.0	D EY L IY
ATE 1.0	EY T
ADVENTURE 1.0	AE D V EH N CH ER
SUL 1.0	S AH L
FROZE 1.0	F R OW Z
PLANK 1.0	P L AE NG K
BULL 1.0	B UH L
BLOSSOM 1.0	B L AA S AH M
WARRIORS 1.0	W AO R IY ER Z
YOUNGBLOOD 1.0	Y AH NG B L AH D
DANGER 1.0	D EY N JH ER
SMELT 1.0	S M EH L T
CONFUSE 1.0	K AH N F Y UW Z
RACK 1.0	R AE K
UNCLE 1.0	AH NG K AH L
PRAYED 1.0	P R EY D
INSOLENCE 1.0	IH N S AH L AH N S
ASTRAY 1.0	AH S T R EY
SNEAKING 1.0	S N IY K IH NG
CURIOSITY 1.0	K Y UH R IY AA S AH T IY
PAN 1.0	P AE N
CORAZON 1.0	K AO R AH Z OW N
SOMETIME 1.0	S AH M T AY M
DALE 1.0	D EY L
CAKE 1.0	K EY K
MASS 1.0	M AE S
PHRASES 1.0	F R EY Z AH Z
TELLS 1.0	T EH L Z
YEP 1.0	Y EH P
SWAP 1.0	S W AA P
FLAWLESS 1.0	F L AO L AH S
KNEED 1.0	N IY D
JAILHOUSE 1.0	JH EY L HH AW S
JAGER 1.0	JH EY G ER
AWFUL 1.0	AA F AH L
YOUTHFUL 1.0	Y UW TH F AH L
BENT 1.0	B EH N T
CLOTHS 1.0	K L AO TH S
BLACKNESS 1.0	B L AE K N AH S
ALICE 1.0	AE L AH S
STRAIN 1.0	S T R EY N
CHAOS 1.0	K EY AA S
DIVORCED 1.0	D IH V AO R S T
FASHIONABLE 1.0	F AE SH AH N AH B AH L
ADIEU 1.0	AH D UW
DEFEAT 1.0	D IH F IY T
MAIS 1.0	M EY S
GREATNESS 1.0	G R EY T N AH S
PREFER 1.0	P R AH F ER
CRANK 1.0	K R AE NG K
DISCOVER 1.0	D IH S K AH V ER
SEVENTIES 1.0	S EH V AH N T IY Z
CAGES 1.0	K EY JH IH Z
